hckey,capital,capital_lat,capital_lng
ad,Andorra,42.5,1.5165
al,Tirana,41.3275,19.8189
at,Vienna,48.2,16.3666
ba,Sarajevo,43.85,18.383
be,Brussels,50.8333,4.3333
bg,Sofia,42.6833,23.3167
by,Minsk,53.9,27.5666
ch,Bern,46.9167,7.467
cy,Nicosia,35.1667,33.3666
cz,Prague,50.0833,14.466
de,Berlin,52.5218,13.4015
dk,Copenhagen,55.6786,12.5635
ee,Tallinn,59.4339,24.728
es,Madrid,40.4,-3.6834
fi,Helsinki,60.1756,24.9341
fr,Paris,48.8667,2.3333
gb,London,51.5072,-0.1275
gr,Athens,37.9833,23.7333
hr,Zagreb,45.8,16
hu,Budapest,47.5,19.0833
ie,Dublin,53.3331,-6.2489
is,Reykjavik,64.15,-21.95
it,Rome,41.896,12.4833
li,Vaduz,47.1337,9.5167
lt,Vilnius,54.6834,25.3166
lu,Luxembourg,49.6117,6.13
lv,Riga,56.95,24.1
mc,Monaco,43.7396,7.4069
md,Chisinau,47.005,28.8577
me,Podgorica,42.466,19.2663
mk,Skopje,42,21.4335
mt,Valletta,35.8997,14.5147
nl,Amsterdam,52.35,4.9166
no,Oslo,59.9167,10.75
pl,Warsaw,52.25,21
pt,Lisbon,38.7227,-9.1449
ro,Bucharest,44.4334,26.0999
rs,Belgrade,44.8186,20.468
ru,Moscow,55.7522,37.6155
se,Stockholm,59.3508,18.0973
si,Ljubljana,46.0553,14.515
sk,Bratislava,48.15,17.117
sm,San Marino,43.9172,12.4667
ua,Kiev,50.4334,30.5166
