Source airport,Origin,Destination airport,Destination,lat_st,lng_st,lat_end,lng_end,distance
ARN,STOCKHOLM,TRF,OSLO,59.3508,18.0973,59.9167,10.75,417.5472160316673
TRF,OSLO,ARN,STOCKHOLM,59.9167,10.75,59.3508,18.0973,417.5472160316673
FCO,ROME,TXL,BERLIN,41.896,12.4833,52.5218,13.4015,1183.5427572169108
HEL,HELSINKI,TXL,BERLIN,60.1756,24.9341,52.5218,13.4015,1105.5568827686307
LHR,LONDON,TXL,BERLIN,51.5072,-0.1275,52.5218,13.4015,931.3225988128867
SJJ,SARAJEVO,TXL,BERLIN,43.85,18.383,52.5218,13.4015,1031.939114623531
TXL,BERLIN,FCO,ROME,52.5218,13.4015,41.896,12.4833,1183.5427572169108
TXL,BERLIN,HEL,HELSINKI,52.5218,13.4015,60.1756,24.9341,1105.5568827686307
TXL,BERLIN,LHR,LONDON,52.5218,13.4015,51.5072,-0.1275,931.3225988128867
TXL,BERLIN,SJJ,SARAJEVO,52.5218,13.4015,43.85,18.383,1031.939114623531
TXL,BERLIN,VIE,VIENNA,52.5218,13.4015,48.2,16.3666,524.4636696826291
VIE,VIENNA,TXL,BERLIN,48.2,16.3666,52.5218,13.4015,524.4636696826291
RIX,RIGA,TFS,SOFIA,56.95,24.1,42.6833,23.3167,1587.3529238801261
TFS,SOFIA,RIX,RIGA,42.6833,23.3167,56.95,24.1,1587.3529238801261
ATH,ATHENS,BRU,BRUSSELS,37.9833,23.7333,50.8333,4.3333,2089.6265144272525
ATH,ATHENS,BUD,BUDAPEST,37.9833,23.7333,47.5,19.0833,1123.7378555837008
ATH,ATHENS,CDG,PARIS,37.9833,23.7333,48.8667,2.3333,2098.0055791397026
ATH,ATHENS,DME,MOSCOW,37.9833,23.7333,55.7522,37.6155,2230.4779817223516
ATH,ATHENS,FCO,ROME,37.9833,23.7333,41.896,12.4833,1052.0824133074595
ATH,ATHENS,IEV,KIEV,37.9833,23.7333,50.4334,30.5166,1484.673534094756
